t1,t5,t6,dt1,dt2,t2 FAIL,t3,t4 - FAIL,dt3,dt4,dt5,dt6,dt7,dt8,dt9
06:30,06.30.1,06.30.01,07/07/2016 06:30,7/7/16 6:30,06.30,06.30.00,6.30,7/7/16 6:30:00,07/07/16 06:30,7/7/16 6:30:00,2016/07/07 06:30,16-7-7 6:30:0,07.7.16 06:30:00,7/7/16 06.30
06:30,06.30.10,06.30.10,05/08/2016 06:30,5/8/16 6:30,06.30,06.30.00,6.30,5/8/16 6:30:00,08/05/16 06:30,8/5/16 6:30:00,2016/08/05 06:30,16-8-5 6:30:0,05.8.16 06:30:00,5/8/16 06.30
06:30,06.30.5,06.30.05,13/08/2016 06:30,13/8/16 6:30,06.30,06.30.00,6.30,13/8/16 6:30:00,08/13/16 06:30,8/13/16 6:30:00,2016/08/13 06:30,16-8-13 6:30:0,13.8.16 06:30:00,13/8/16 06.30
06:31,06.31.50,06.31.50,03/08/2016 06:31,3/8/16 6:31,06.31,06.31.00,6.31,3/8/16 6:31:00,08/03/16 06:31,8/3/16 6:31:00,2016/08/03 06:31,16-8-3 6:31:0,03.8.16 06:31:00,3/8/16 06.31
06:31,06.31.6,06.31.06,14/08/2016 06:31,14/8/16 6:31,06.31,06.31.00,6.31,14/8/16 6:31:00,08/14/16 06:31,8/14/16 6:31:00,2016/08/14 06:31,16-8-14 6:31:0,14.8.16 06:31:00,14/8/16 06.31
06:31,06.32.0,06.32.00,13/08/2016 06:31,13/8/16 6:31,06.31,06.31.00,6.31,13/8/16 6:31:00,08/13/16 06:31,8/13/16 6:31:00,2016/08/13 06:31,16-8-13 6:31:0,13.8.16 06:31:00,13/8/16 06.31
06:32,06.32.0,06.32.00,13/08/2016 06:32,13/8/16 6:32,06.32,06.32.00,6.32,13/8/16 6:32:00,08/13/16 06:32,8/13/16 6:32:00,2016/08/13 06:32,16-8-13 6:32:0,13.8.16 06:32:00,13/8/16 06.32
06:32,06.32.0,06.32.00,18/09/2016 06:32,18/9/16 6:32,06.32,06.32.00,6.32,18/9/16 6:32:00,09/18/16 06:32,9/18/16 6:32:00,2016/09/18 06:32,16-9-18 6:32:0,18.9.16 06:32:00,18/9/16 06.32
06:33,06.33.0,06.33.00,17/09/2016 06:33,17/9/16 6:33,06.33,06.33.00,6.33,17/9/16 6:33:00,09/17/16 06:33,9/17/16 6:33:00,2016/09/17 06:33,16-9-17 6:33:0,17.9.16 06:33:00,17/9/16 06.33
06:34,06.34.0,06.34.00,06/08/2016 06:34,6/8/16 6:34,06.34,06.34.00,6.34,6/8/16 6:34:00,08/06/16 06:34,8/6/16 6:34:00,2016/08/06 06:34,16-8-6 6:34:0,06.8.16 06:34:00,6/8/16 06.34
06:37,06.37.0,06.37.00,18/07/2016 06:37,18/7/16 6:37,06.37,06.37.00,6.37,18/7/16 6:37:00,07/18/16 06:37,7/18/16 6:37:00,2016/07/18 06:37,16-7-18 6:37:0,18.7.16 06:37:00,18/7/16 06.37
06:37,06.37.0,06.37.00,17/08/2016 06:37,17/8/16 6:37,06.37,06.37.00,6.37,17/8/16 6:37:00,08/17/16 06:37,8/17/16 6:37:00,2016/08/17 06:37,16-8-17 6:37:0,17.8.16 06:37:00,17/8/16 06.37
06:38,06.38.0,06.38.00,20/08/2016 06:38,20/8/16 6:38,06.38,06.38.00,6.38,20/8/16 6:38:00,08/20/16 06:38,8/20/16 6:38:00,2016/08/20 06:38,16-8-20 6:38:0,20.8.16 06:38:00,20/8/16 06.38
06:38,06.38.4,06.38.04,08/09/2016 06:38,8/9/16 6:38,06.38,06.38.00,6.38,8/9/16 6:38:00,09/08/16 06:38,9/8/16 6:38:00,2016/09/08 06:38,16-9-8 6:38:0,08.9.16 06:38:00,8/9/16 06.38
06:39,06.39.0,06.39.00,11/09/2016 06:39,11/9/16 6:39,06.39,06.39.00,6.39,11/9/16 6:39:00,09/11/16 06:39,9/11/16 6:39:00,2016/09/11 06:39,16-9-11 6:39:0,11.9.16 06:39:00,11/9/16 06.39
06:39,06.39.0,06.39.00,20/08/2016 06:39,20/8/16 6:39,06.39,06.39.00,6.39,20/8/16 6:39:00,08/20/16 06:39,8/20/16 6:39:00,2016/08/20 06:39,16-8-20 6:39:0,20.8.16 06:39:00,20/8/16 06.39
06:41,06.41.0,06.41.00,16/08/2016 06:41,16/8/16 6:41,06.41,06.41.00,6.41,16/8/16 6:41:00,08/16/16 06:41,8/16/16 6:41:00,2016/08/16 06:41,16-8-16 6:41:0,16.8.16 06:41:00,16/8/16 06.41
06:41,06.41.0,06.41.00,25/07/2016 06:41,25/7/16 6:41,06.41,06.41.00,6.41,25/7/16 6:41:00,07/25/16 06:41,7/25/16 6:41:00,2016/07/25 06:41,16-7-25 6:41:0,25.7.16 06:41:00,25/7/16 06.41
06:41,06.41.0,06.41.00,20/08/2016 06:41,20/8/16 6:41,06.41,06.41.00,6.41,20/8/16 6:41:00,08/20/16 06:41,8/20/16 6:41:00,2016/08/20 06:41,16-8-20 6:41:0,20.8.16 06:41:00,20/8/16 06.41
06:42,06.42.22,06.42.22,06/08/2016 06:42,6/8/16 6:42,06.42,06.42.00,6.42,6/8/16 6:42:00,08/06/16 06:42,8/6/16 6:42:00,2016/08/06 06:42,16-8-6 6:42:0,06.8.16 06:42:00,6/8/16 06.42
06:42,06.42.0,06.42.00,18/08/2016 06:42,18/8/16 6:42,06.42,06.42.00,6.42,18/8/16 6:42:00,08/18/16 06:42,8/18/16 6:42:00,2016/08/18 06:42,16-8-18 6:42:0,18.8.16 06:42:00,18/8/16 06.42
06:42,06.42.0,06.42.00,23/08/2016 06:42,23/8/16 6:42,06.42,06.42.00,6.42,23/8/16 6:42:00,08/23/16 06:42,8/23/16 6:42:00,2016/08/23 06:42,16-8-23 6:42:0,23.8.16 06:42:00,23/8/16 06.42
06:43,06.43.0,06.43.00,11/08/2016 06:43,11/8/16 6:43,06.43,06.43.00,6.43,11/8/16 6:43:00,08/11/16 06:43,8/11/16 6:43:00,2016/08/11 06:43,16-8-11 6:43:0,11.8.16 06:43:00,11/8/16 06.43
06:43,06.43.0,06.43.00,13/08/2016 06:43,13/8/16 6:43,06.43,06.43.00,6.43,13/8/16 6:43:00,08/13/16 06:43,8/13/16 6:43:00,2016/08/13 06:43,16-8-13 6:43:0,13.8.16 06:43:00,13/8/16 06.43
06:44,06.44.0,06.44.00,27/07/2016 06:44,27/7/16 6:44,06.44,06.44.00,6.44,27/7/16 6:44:00,07/27/16 06:44,7/27/16 6:44:00,2016/07/27 06:44,16-7-27 6:44:0,27.7.16 06:44:00,27/7/16 06.44
06:44,06.44.0,06.44.00,31/07/2016 06:44,31/7/16 6:44,06.44,06.44.00,6.44,31/7/16 6:44:00,07/31/16 06:44,7/31/16 6:44:00,2016/07/31 06:44,16-7-31 6:44:0,31.7.16 06:44:00,31/7/16 06.44
06:44,06.44.5,06.44.05,23/08/2016 06:44,23/8/16 6:44,06.44,06.44.00,6.44,23/8/16 6:44:00,08/23/16 06:44,8/23/16 6:44:00,2016/08/23 06:44,16-8-23 6:44:0,23.8.16 06:44:00,23/8/16 06.44
06:44,06.44.0,06.44.00,20/09/2016 06:44,20/9/16 6:44,06.44,06.44.00,6.44,20/9/16 6:44:00,09/20/16 06:44,9/20/16 6:44:00,2016/09/20 06:44,16-9-20 6:44:0,20.9.16 06:44:00,20/9/16 06.44
06:45,06.45.0,06.45.00,17/09/2016 06:45,17/9/16 6:45,06.45,06.45.00,6.45,17/9/16 6:45:00,09/17/16 06:45,9/17/16 6:45:00,2016/09/17 06:45,16-9-17 6:45:0,17.9.16 06:45:00,17/9/16 06.45
06:45,06.45.0,06.45.00,07/08/2016 06:45,7/8/16 6:45,06.45,06.45.00,6.45,7/8/16 6:45:00,08/07/16 06:45,8/7/16 6:45:00,2016/08/07 06:45,16-8-7 6:45:0,07.8.16 06:45:00,7/8/16 06.45
06:45,06.45.0,06.45.00,13/08/2016 06:45,13/8/16 6:45,06.45,06.45.00,6.45,13/8/16 6:45:00,08/13/16 06:45,8/13/16 6:45:00,2016/08/13 06:45,16-8-13 6:45:0,13.8.16 06:45:00,13/8/16 06.45
06:45,06.45.0,06.45.00,22/08/2016 06:45,22/8/16 6:45,06.45,06.45.00,6.45,22/8/16 6:45:00,08/22/16 06:45,8/22/16 6:45:00,2016/08/22 06:45,16-8-22 6:45:0,22.8.16 06:45:00,22/8/16 06.45
06:45,06.45.0,06.45.00,29/07/2016 06:45,29/7/16 6:45,06.45,06.45.00,6.45,29/7/16 6:45:00,07/29/16 06:45,7/29/16 6:45:00,2016/07/29 06:45,16-7-29 6:45:0,29.7.16 06:45:00,29/7/16 06.45
06:46,06.46.0,06.46.00,10/09/2016 06:46,10/9/16 6:46,06.46,06.46.00,6.46,10/9/16 6:46:00,09/10/16 06:46,9/10/16 6:46:00,2016/09/10 06:46,16-9-10 6:46:0,10.9.16 06:46:00,10/9/16 06.46
06:47,06.47.0,06.47.00,17/09/2016 06:47,17/9/16 6:47,06.47,06.47.00,6.47,17/9/16 6:47:00,09/17/16 06:47,9/17/16 6:47:00,2016/09/17 06:47,16-9-17 6:47:0,17.9.16 06:47:00,17/9/16 06.47
06:47,06.47.0,06.47.00,08/09/2016 06:47,8/9/16 6:47,06.47,06.47.00,6.47,8/9/16 6:47:00,09/08/16 06:47,9/8/16 6:47:00,2016/09/08 06:47,16-9-8 6:47:0,08.9.16 06:47:00,8/9/16 06.47
06:47,06.47.0,06.47.00,18/08/2016 06:47,18/8/16 6:47,06.47,06.47.00,6.47,18/8/16 6:47:00,08/18/16 06:47,8/18/16 6:47:00,2016/08/18 06:47,16-8-18 6:47:0,18.8.16 06:47:00,18/8/16 06.47
06:47,06.47.0,06.47.00,19/09/2016 06:47,19/9/16 6:47,06.47,06.47.00,6.47,19/9/16 6:47:00,09/19/16 06:47,9/19/16 6:47:00,2016/09/19 06:47,16-9-19 6:47:0,19.9.16 06:47:00,19/9/16 06.47
06:48,06.48.0,06.48.00,17/09/2016 06:48,17/9/16 6:48,06.48,06.48.00,6.48,17/9/16 6:48:00,09/17/16 06:48,9/17/16 6:48:00,2016/09/17 06:48,16-9-17 6:48:0,17.9.16 06:48:00,17/9/16 06.48
06:50,06.50.0,06.50.00,10/09/2016 06:50,10/9/16 6:50,06.50,06.50.00,6.50,10/9/16 6:50:00,09/10/16 06:50,9/10/16 6:50:00,2016/09/10 06:50,16-9-10 6:50:0,10.9.16 06:50:00,10/9/16 06.50
